시군명,병원명/센터명,업무구분명,대표전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도
안양시,안양샘병원,지역응급의료센터,467-9114,경기도 안양시 만안구 삼덕로 9,경기도 안양시 만안구 안양동 613-6번지,14030,37.3928939479,126.9248195521
안양시,한림대성심병원,권역응급의료센터,380-1500,경기도 안양시 동안구 관평로170번길 22,경기도 안양시 동안구 평촌동 896번지,14068,37.3916536825,126.9619737070
부천시,가톨릭대부천성모병원,지역응급의료센터,1577-0675,경기도 부천시 원미구 소사로 327,경기도 부천시 원미구 소사동 2번지,14647,37.4873253613,126.7927936990
부천시,다니엘종합병원,지역응급의료기관,032-670-0001,경기도 부천시 원미구 중동로 361,경기도 부천시 원미구 약대동 138-7번지,14513,37.5123311374,126.7694862939
부천시,부천세종병원,지역응급의료센터,1599-6677,경기도 부천시 소사구 호현로489번길 28,경기도 부천시 소사구 소사본동 91-121번지,14754,37.4810423491,126.7911902926
부천시,순천향대부속부천병원,권역응급의료센터,032-621-5114,경기도 부천시 원미구 조마루로 170,경기도 부천시 원미구 중동 1174번지,14584,37.4983685015,126.7621105079
광명시,광명성애병원,지역응급의료센터,02-2680-7114,경기도 광명시 디지털로 36,경기도 광명시 철산동 389번지,14241,37.4730459543,126.8722172235
광명시,중앙대광명병원,지역응급의료센터,1811-7800,경기도 광명시 덕안로 110,경기도 광명시 일직동 501번지,14353,37.4245797046,126.8859245166
평택시,굿모닝병원,지역응급의료센터,5182-7700,경기도 평택시 중앙로 338,경기도 평택시 합정동 883번지,17874,36.9905649024,127.1204512355
평택시,박병원,지역응급의료기관,666-2600,경기도 평택시 송탄로 33,경기도 평택시 장당동 470-4번지,17784,37.0482621367,127.0570065529
평택시,박애병원,지역응급의료기관,652-2121,경기도 평택시 평택2로20번길 3,경기도 평택시 평택동 41-2번지,17909,36.9930565731,127.0890739281
평택시,평택성모병원,지역응급의료센터,1800-8800,경기도 평택시 평택로 284,경기도 평택시 세교동 439-3번지,17825,37.0083742374,127.0743680813
안산시,고려대안산병원,권역응급의료센터,412-5114,경기도 안산시 단원구 적금로 123,경기도 안산시 단원구 고잔동 516번지,15355,37.3177037052,126.8246661096
안산시,근로복지공단안산병원,지역응급의료기관,500-1114,경기도 안산시 상록구 구룡로 87,경기도 안산시 상록구 일동 95번지,15324,37.3167670968,126.8739933160
안산시,대야의료재단한도병원,지역응급의료센터,8040-1572,경기도 안산시 단원구 선부광장로 103,경기도 안산시 단원구 선부동 1071-1번지,15367,37.3340553037,126.8076211068
안산시,사랑의병원,지역응급의료기관,439-3000,경기도 안산시 상록구 예술광장로 69,경기도 안산시 상록구 성포동 593-4번지,15291,37.3269215026,126.8449233010
안산시,플러스의료재단 단원병원,지역응급의료기관,8040-6600,경기도 안산시 단원구 원포공원1로 20,경기도 안산시 단원구 초지동 745-2번지,15457,37.3002144599,126.8132684424
고양시,국립암센터,지역응급의료기관,920-0118,경기도 고양시 일산동구 일산로 323,경기도 고양시 일산동구 마두동 809번지,10408,37.6632367324,126.7833955610
고양시,국민건강보험공단일산병원,권역응급의료센터,1577-0013,경기도 고양시 일산동구 일산로 100,경기도 고양시 일산동구 백석동 1232번지,10444,37.6454752678,126.7929631952
고양시,더자인병원,지역응급의료기관,1688-5533,경기도 고양시 덕양구 중앙로 555,경기도 고양시 덕양구 행신동 995번지,10518,37.6229829943,126.8356822065
고양시,동국대일산불교병원,지역응급의료센터,1577-7000,경기도 고양시 일산동구 동국로 27,경기도 고양시 일산동구 식사동 814번지,10326,37.6764385211,126.8055630510
고양시,명지병원,권역응급의료센터,810-5114,경기도 고양시 덕양구 화수로14번길 55,경기도 고양시 덕양구 화정동 697-1번지,10475,37.6424745722,126.8317454892
고양시,인제대일산백병원,지역응급의료센터,910-7114,경기도 고양시 일산서구 주화로 170,경기도 고양시 일산서구 대화동 2240번지,10380,37.6742710122,126.7503817665
고양시,일산차병원,지역응급의료기관,782-8300,경기도 고양시 일산동구 중앙로 1205,경기도 고양시 일산동구 장항동 889번지,10414,37.6541226556,126.7757402631
구리시,한양대구리병원,지역응급의료센터,1644-9118,경기도 구리시 경춘로 153,경기도 구리시 교문동 249-1번지,11923,37.6011883667,127.1325173047
남양주시,남양주한양병원,지역응급의료센터,510-0114,경기도 남양주시 오남읍 양지로 47-55,경기도 남양주시 오남읍 오남리 570번지,12048,37.6823215983,127.2043260272
남양주시,칠석의료재단 엘병원,지역응급의료기관,1899-3377,경기도 남양주시 퇴계원읍 퇴계원로 20,경기도 남양주시 퇴계원읍 퇴계원리 218-20번지,12122,37.6487786897,127.1411136554
남양주시,현대병원,지역응급의료센터,574-9119,경기도 남양주시 진접읍 장현로 52,경기도 남양주시 진접읍 장현리 663번지,12013,37.7156786627,127.1796858087
오산시,오산한국병원,지역응급의료센터,379-8300,경기도 오산시 밀머리로1번길 16,경기도 오산시 원동 560-70번지,18144,37.1412846971,127.0755950189
시흥시,센트럴병원,지역응급의료기관,1588-9339,경기도 시흥시 공단1대로 237,경기도 시흥시 정왕동 1366-11번지,15079,37.3368704199,126.7279758655
시흥시,시화병원,지역응급의료센터,1811-7000,경기도 시흥시 군자천로 381,경기도 시흥시 정왕동 1842-3번지,15034,37.3499087489,126.7370103825
시흥시,신천연합병원,지역응급의료기관,310-6300,경기도 시흥시 복지로 57,경기도 시흥시 대야동 469-3번지,14905,37.4445266056,126.7893756920
군포시,원광대 산본병원,지역응급의료센터,390-2300,경기도 군포시 산본로 321,경기도 군포시 산본동 1142번지,15865,37.3594142404,126.9336007710
군포시,지샘병원,지역응급의료센터,389-3000,경기도 군포시 군포로 591,경기도 군포시 당동 730번지,15839,37.3586407829,126.9473038902
용인시,강남병원,지역응급의료센터,300-0114,경기도 용인시 기흥구 중부대로 411,경기도 용인시 기흥구 신갈동 65-3번지,17064,37.2736708927,127.1114435444
용인시,명주병원,지역응급의료센터,1522-8119,경기도 용인시 처인구 금령로39번길 8-6,경기도 용인시 처인구 김량장동 254-337번지,17050,37.2353962643,127.2010748933
용인시,용인세브란스병원,지역응급의료센터,5189-8511,경기도 용인시 기흥구 동백죽전대로 363,경기도 용인시 기흥구 중동 1151번지,16995,37.2707754145,127.1482844761
용인시,효심의료재단용인서울병원,지역응급의료기관,337-0114,경기도 용인시 처인구 고림로 81,경기도 용인시 처인구 고림동 787-1번지,17148,37.2403149583,127.2144834225
파주시,경기도의료원 파주병원,지역응급의료센터,940-9100,경기도 파주시 중앙로 207,경기도 파주시 금촌동 798번지,10922,37.7550951627,126.7798200252
파주시,메디인병원,지역응급의료기관,943-1191,경기도 파주시 금릉역로 190,경기도 파주시 금촌동 495-1번지,10913,37.7610981986,126.7667173351
이천시,경기도의료원 이천병원,지역응급의료센터,630-4200,경기도 이천시 경충대로 2742,경기도 이천시 관고동 515번지,17366,37.2828169641,127.4332171305
안성시,경기도의료원 안성병원,지역응급의료기관,8046-5000,경기도 안성시 남파로 95,경기도 안성시 당왕동 585번지,17568,37.0173057984,127.2602971750
안성시,안성성모병원,지역응급의료기관,675-6007,경기도 안성시 시장길 58,경기도 안성시 서인동 14번지,17592,37.0058059754,127.2707076272
김포시,김포우리병원,지역응급의료센터,999-1000,경기도 김포시 감암로 11,경기도 김포시 걸포동 389-15번지,10099,37.6330010089,126.7105517913
김포시,뉴고려병원,지역응급의료센터,998-8129,경기도 김포시 김포한강3로 283,경기도 김포시 장기동 1764번지,10086,37.6409639190,126.6602555380
화성시,원광종합병원,지역응급의료기관,8077-7200,경기도 화성시 화산북로 21,경기도 화성시 송산동 200-4번지,18356,37.2100622996,127.0080299071
화성시,한림대동탄성심병원,지역응급의료센터,8086-3000,경기도 화성시 큰재봉길 7,경기도 화성시 석우동 40번지,18450,37.2164957291,127.0799416615
화성시,화성중앙종합병원,지역응급의료기관,352-8114,경기도 화성시 향남읍 발안로 5,경기도 화성시 향남읍 평리 74-1번지,18592,37.1313495282,126.9107734239
광주시,참조은병원,지역응급의료센터,1600-9955,경기도 광주시 광주대로 45,경기도 광주시 경안동 20-61번지,12756,37.4109140026,127.2599526938
포천시,경기도의료원 포천병원,지역응급의료센터,539-9114,경기도 포천시 포천로 1648,경기도 포천시 신읍동 243-1번지,11142,37.9030934888,127.1983489735
포천시,일심의료재단 우리병원,지역응급의료기관,542-0222,경기도 포천시 소흘읍 호국로 661,경기도 포천시 소흘읍 송우리 116-11번지,11174,37.8274877024,127.1481359819
여주시,세종여주병원,지역응급의료기관,880-7700,경기도 여주시 청심로 47,경기도 여주시 하동 435-2번지,12618,37.3013277742,127.6267042219
연천군,연천군보건의료원,지역응급의료기관,839-4001,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36번지,11027,38.0235512237,127.0609862377
양평군,양평병원,지역응급의료기관,770-5000,경기도 양평군 양평읍 중앙로 129,경기도 양평군 양평읍 공흥리 316-2번지,12550,37.4939488353,127.5034843038

